                  1            2            3            4            5            6            7            8            9           10           11           12           13           14           15           16           17           18           19           20           21           22           23           24           25           26           27           28           29           30           31           32           33           34           35           36           37           38           39           40           41           42           43           44           45           46           47           48           49           50           51           52           53           54           55           56           57           58           59           60           61           62           63           64           65           66           67           68           69           70           71           72           73           74           75           76           77           78           79           80           81           82           83           84           85           86           87           88
195101        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000       14.831       14.256       14.784       11.462       15.334       18.406       15.577     -999.000       13.665       15.577       16.574     -999.000     -999.000     -999.000     -999.000     -999.000     -999.000     -999.000     -999.000     -999.000     -999.000     -999.000        0.000       19.876       19.876       19.341       18.317       75.383     5656.318     5829.679     5997.545     3736.338    20656.387      145.000       85.000     4857.774       10.414        2.187        9.930        3.010      146.500    25778.871     2061.933     2528.829       60.403        6.535      -17.694        0.111       -0.429       -0.192        0.053       -0.451        0.273       -0.174        0.663       -0.210     -999.000       -2.893       -0.508       19.534        3.094       12.870       11.673       29.000        2.000        0.000
195102        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000       14.651       12.919       12.919       14.753       14.434     -999.000     -999.000     -999.000       14.493     -999.000       15.097     -999.000     -999.000     -999.000     -999.000     -999.000     -999.000     -999.000     -999.000     -999.000     -999.000     -999.000        0.000       20.259       19.931       19.024       19.936       77.068     6546.644     5842.553     6096.289     3836.397    21731.391      277.500       72.500     4894.250        9.495        5.268       10.690        4.591      150.000    26000.393     2058.903     2478.023       80.758        8.905      -23.157        0.319       -0.625       -0.314       -0.209       -0.505       -0.206       -0.111        0.446        0.480     -999.000       -2.057       -0.547       16.200        2.708       11.889       10.982       28.000        0.000        0.000
195103        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000       13.841       11.330       12.915       13.110       15.498     -999.000       15.713       11.442       14.430       13.898       16.094     -999.000     -999.000     -999.000     -999.000     -999.000     -999.000     -999.000     -999.000     -999.000     -999.000     -999.000        0.000       18.001       18.962       19.455       17.424       72.008     4777.473     3789.105     3499.470     3574.420    15225.668       25.000       77.500     5065.323       11.143        2.961       10.809        3.390      137.500    26157.420     2191.185     2744.278      100.141       -7.668      -18.292       -0.841       -0.064       -0.876        0.154        0.470        0.015     -999.000       -0.885       -0.268     -999.000       -0.943        0.775       11.074       -0.549        9.505        9.151       31.000        0.000        0.000
195104        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000       15.844       14.826       14.713       14.417       18.693       15.593       15.617       13.082       15.234       14.572       17.752     -999.000     -999.000     -999.000     -999.000     -999.000     -999.000     -999.000     -999.000     -999.000     -999.000     -999.000        0.000       16.373       17.930       17.387       12.250       62.487     2932.011     3405.756     2746.351     2360.455    11172.496       25.000       80.000     5152.767       10.210        4.504        8.357        4.368      167.000    26812.168     2183.165     2761.471      101.916      -10.288      -35.590       -0.270        0.091       -0.049       -0.163        0.133       -0.674     -999.000       -0.209       -0.176     -999.000        0.949        2.628        5.789        3.325        9.853        9.281       30.000        0.000        0.000
195105        2.461        2.038        2.038        0.000        0.788        0.000        0.000        0.000        0.000        0.000        0.788       36.119       33.170       33.170        0.000        9.049        0.000        0.000        0.000        0.000        0.000        9.049       20.764       20.025       20.025       17.555       18.077       17.218       15.955       15.163       14.200       15.664       22.448       23.162       22.535       22.535     -999.000     -999.000     -999.000     -999.000     -999.000     -999.000     -999.000       24.375      158.207       16.188       19.512       16.093       16.782       66.855     2934.324     3042.935     2316.105     1935.407     9984.424       75.000       82.500     5301.032       11.971        2.971       13.448        1.205      162.000    27341.484     2405.499     3171.642       99.584      -12.798      -38.145       -0.293        0.378       -0.436        0.238        0.081       -0.017     -999.000       -0.235        0.156     -999.000        2.399        4.013        2.393        2.234        8.486        9.662       31.000        0.000        0.000
195106       15.282        5.760       12.986        0.000        3.003        0.000        3.816        2.904        0.000        7.514        3.003      232.115      104.177      207.902        0.000       39.811        0.000       53.448       41.764        0.000      108.215       39.811       23.405       22.770       22.519     -999.000       25.049       23.112       24.306       20.204       17.132       22.292       26.258       26.849       27.384       26.462     -999.000       27.372     -999.000       27.494       23.728     -999.000       25.764       28.746      139.438       16.118       17.935       18.841       14.418       65.477     2261.292     2346.183     2260.990     2108.292     8753.172       50.000       80.000     5353.500        9.291        2.716        8.599        3.011      146.000    28020.232     2457.027     3315.501       26.405      -10.134      -26.735       -0.285        0.342       -0.230       -0.013       -0.270        0.766     -999.000        0.055        0.040     -999.000        2.955        3.763       -1.636        1.224        8.647       10.576       30.000        0.000        0.000
195107       43.750       12.280       32.845        0.000        6.323        4.949       11.717        7.810        0.000       20.989       11.607     1165.219      383.200      976.156        0.000      131.310       86.896      354.303      208.444        0.000      605.809      224.470       28.991       26.878       29.003       29.070       26.929       30.170       31.266       30.542       25.438       30.641       28.883       34.400       32.864       35.784     -999.000       31.051       32.964       38.775       38.045     -999.000       38.087       32.417      128.620       14.024       15.114       15.388       13.893       57.042     1206.468     1705.969     2741.321     2017.248     7498.017      282.500       67.500     5430.193        8.090        2.544        6.023        1.738      165.000    28257.289     2518.802     3403.698       52.818        2.440      -17.714        0.247       -0.473       -0.439        0.489        0.234        0.225     -999.000       -0.042       -0.155     -999.000        1.557        2.790       -0.155        1.280       10.167       12.590       31.000        0.000        0.000
195108       46.855       11.685       33.785        0.000        8.033        5.039       12.323        8.549        0.000       22.715       13.562     1226.874      305.609     1029.165        0.000      135.548       77.708      382.589      306.900        0.000      739.568      221.195       28.501       27.157       29.657       29.926       27.989       25.953       28.934       36.317       32.264       31.553       26.422       34.844       33.170       36.641     -999.000       33.914       29.852       37.504       42.834     -999.000       39.498       31.549      130.635       15.492       15.160       15.412       12.028       56.784     2026.061     1968.729     2451.882     1830.811     8102.364      157.500       80.000     5345.645        6.955        5.035        7.429        4.224      169.000    28510.807     2546.849     3466.896       42.968       -1.813      -27.587       -0.179        0.055       -0.076        0.438        0.313       -0.353     -999.000       -0.014        0.367        0.020        1.774        2.552       -1.800        1.090        9.643        9.072       31.000        0.000        0.000
195109       24.707        6.351       15.058        0.000        6.364        2.938        5.584        2.781        0.000        8.708        9.726      438.743      125.395      269.963        0.000      113.998       44.740       87.273       50.869        0.000      144.568      168.015       26.440       25.585       26.976       23.812       25.234       26.261       27.379       30.603       24.869       28.274       25.462       30.185       29.401       30.880     -999.000       28.478       28.773       31.427       34.226     -999.000       32.259       28.929      122.871       17.201       18.092       17.989       14.505       65.966     2011.684     2758.237     3228.396     2197.177     9929.319      120.000       87.500     5365.367        7.836        2.555        5.796        2.922      127.000    27971.834     2517.635     3372.757       81.563       -8.972      -36.042       -0.221        0.223       -0.283       -0.774        0.522       -0.104     -999.000       -0.478       -0.030       -0.155        3.566        3.904       -1.817        0.920       10.556        9.110       29.000        1.000        0.000
195110        5.490        0.000        0.000        0.000        5.075        0.273        0.000        0.000        0.000        0.000        5.490      108.140        0.000        0.000        0.000      103.136        3.357        0.000        0.000        0.000        0.000      108.140       25.072       20.688       19.582       21.913       25.108       27.761       20.331       15.959       18.019       18.490       25.072       29.103     -999.000     -999.000     -999.000       28.777       29.675     -999.000     -999.000     -999.000     -999.000       29.103      138.247       19.438       19.602       18.129       14.476       69.618     4784.587     5081.599     4911.451     2687.788    16968.166      245.000       85.000     5105.000        9.851        3.916       12.980        2.504      166.000    27235.289     2457.560     3231.472       94.157       -5.945      -35.370        0.709       -0.006       -0.210        0.127       -0.095        0.262     -999.000        0.196        0.230     -999.000        3.432        4.430        0.273       -0.062        9.421       10.107       23.000        8.000        0.000
