                  1            2            3            4            5            6            7            8            9           10           11           12           13           14           15           16
195101     -999.000        0.000        0.000       85.000        2.500     -999.000       -1.049       -0.570        2.140       -6.010     -999.000     1079.000     -999.000     -999.000     -999.000       -0.620
195102     -999.000        0.000        0.000       84.800        1.500     -999.000       -1.152       -0.070        0.940       -5.320     -999.000     1019.000     -999.000     -999.000     -999.000       -0.070
195103     -999.000        1.000        0.000       79.300       -0.200     -999.000        0.000       -1.120        2.290       -1.930     -999.000     1025.000     -999.000     -999.000     -999.000       -0.620
195104     -999.000        2.000        0.000      131.700       -0.500     -999.000     -999.000        0.050        3.630        0.910     -999.000     1271.000     -999.000     -999.000     -999.000       -1.570
195105     -999.000        1.000        0.000      153.700       -1.100     -999.000     -999.000        0.430        3.700        2.260     -999.000     1686.000     -999.000     -999.000     -999.000       -0.990
195106     -999.000        2.000        0.000      142.400        0.300     -999.000     -999.000        0.290        3.850       -0.300     -999.000     1617.000     -999.000     -999.000     -999.000       -1.580
195107     -999.000        2.000        0.000       87.200       -1.700     -999.000     -999.000        0.740        2.870       -2.700     -999.000     1163.000     -999.000     -999.000     -999.000       -1.950
195108     -999.000        3.000        1.000       86.500       -0.400     -999.000     -999.000        0.050        0.980       -5.310     -999.000     1098.000     -999.000     -999.000     -999.000       -1.120
195109     -999.000        2.000        2.000      117.700       -1.800     -999.000     -999.000       -0.630       -0.040       -5.920     -999.000     1178.000     -999.000     -999.000     -999.000       -0.450
195110     -999.000        4.000        0.000       73.300       -1.600     -999.000     -999.000       -1.090       -0.970       -4.590     -999.000     1060.000     -999.000     -999.000     -999.000       -0.450
195111     -999.000        1.000        0.000       74.200       -1.300     -999.000     -999.000       -0.030       -1.190       -3.650     -999.000     1044.000     -999.000     -999.000     -999.000       -0.250
195112     -999.000        2.000        0.000       65.000       -1.200     -999.000     -999.000        0.070       -2.020       -3.980     -999.000     1024.000     -999.000     -999.000     -999.000       -0.310
195201     -999.000        0.000        0.000       57.900       -1.500     -999.000     -999.000       -1.320       -2.890       -6.800     -999.000      954.000     -999.000     -999.000     -999.000        0.130
195202     -999.000        0.000        0.000       32.400       -1.000     -999.000     -999.000       -1.610       -1.440       -7.710     -999.000      862.000     -999.000     -999.000     -999.000       -0.510
195203     -999.000        0.000        0.000       31.500        0.900     -999.000     -999.000       -0.520        0.920       -6.990     -999.000      785.000     -999.000     -999.000     -999.000       -1.080
