                  1            2            3            4            5            6            7            8            9           10           11           12           13           14           15           16           17           18           19           20           21           22           23           24           25           26
195101       -0.465       -0.867       -1.018       -1.303       -0.211       -0.955       -0.249       -0.758       -0.885       -0.110       -1.171        0.000        1.073        0.177       18.382       15.427       -0.031        1.332        1.056       -0.142       -0.450       -0.460       -0.671       -0.924       -0.001        2.073
195102       -0.846       -0.753       -1.007       -1.028       -0.539       -0.814        0.044       -0.779       -0.867       -0.257       -1.104       -0.049        2.637        0.811       15.036       11.181       -0.122        1.243        1.138        0.078       -0.359       -0.351       -0.705       -0.951        0.318        1.378
195103       -0.737       -0.284       -0.465       -0.333       -0.432       -0.524       -0.050       -0.535       -0.407       -0.242       -0.958       -0.243       15.369        7.488       16.292       10.106       -0.171        1.177        1.131        0.025        0.141       -0.098       -0.352       -0.812        0.254        2.169
195104       -0.210       -0.106       -0.238       -0.124       -0.258       -0.405       -0.159       -0.955       -0.171        0.051       -0.869       -1.992       18.570       12.741       19.219       13.644       -0.010        0.428        0.581       -0.150        0.052       -0.011       -0.195       -0.860       -0.100        1.254
195105        0.289       -0.075        0.418        0.113        0.024       -0.248       -0.378       -0.599        0.165       -0.039       -0.787       -0.485       18.485       18.402       19.737       18.316        0.046       -0.014        0.261       -0.334        0.508       -0.075        0.418       -0.650        0.181        0.586
195106        1.530        0.169        0.253        0.136       -0.204       -0.011        0.199       -0.761        0.352       -0.132       -0.707       -1.289       13.578        8.965       20.611       17.701        0.004        0.964        0.568        0.197        0.049        0.068        0.185       -0.636       -0.046        1.002
195107        1.801        0.746        0.378        0.415       -0.245        0.357        0.123       -0.770        0.711        0.012       -0.423        0.639        5.561        3.946       23.128       19.941        0.147       -0.616       -0.387        0.037        0.094        0.595        0.080       -0.639       -0.127        1.123
195108        1.132        0.439       -0.122        0.181       -0.650        0.159        0.283       -0.611        0.286       -0.155       -0.230        1.030        4.336        3.290       22.856       14.150       -0.044        0.557        0.492        0.175       -0.173        0.439       -0.122       -0.644       -0.078        0.689
195109        0.550        0.444       -0.015        0.494       -0.494        0.203        0.106       -0.358        0.269       -0.268       -0.084        0.260        7.365        5.334       25.375       22.922       -0.073        0.775       -0.347        0.196       -0.158        0.444       -0.015       -0.529        0.088        0.752
195110        0.680        0.631       -0.094        0.523       -0.400        0.278        0.230       -0.359        0.342       -0.412       -0.297        1.505       11.277        4.868       24.705       21.963       -0.051       -0.241       -0.193        0.249       -0.281        0.631       -0.094       -0.380       -0.102        0.163
195111        0.611        0.869        0.098        0.624       -0.302        0.568       -0.318       -0.364        0.528       -0.374       -0.509        1.957        8.761        2.083       22.084       19.214       -0.010       -0.543       -0.244       -0.249       -0.049        0.829       -0.249       -0.382        0.324       -0.303
195112       -0.044        0.626        0.127        0.352       -0.254        0.295       -0.587       -0.257        0.350       -0.517       -0.422        0.286       10.325        2.887       20.152       17.957       -0.078        1.121        0.970       -0.426        0.103        0.575       -0.123       -0.395        0.255       -0.452
